t,fix,sats,hdop,lat,lon,alt_m,speed_kmh,course
1788070131.71,0,00,99.99,,,,0.0,0.0
1788070132.71,0,00,99.99,,,,0.0,0.0
1788070133.71,0,00,99.99,,,,0.0,0.0
1788070134.71,0,00,99.99,,,,0.0,0.0
1788070135.71,0,00,99.99,,,,0.0,0.0
1788070136.71,0,00,99.99,,,,0.0,0.0
1788070137.71,0,00,99.99,,,,0.0,0.0
1788070138.72,0,00,99.99,,,,0.0,0.0
1788070139.71,0,00,99.99,,,,0.0,0.0
1788070140.71,0,00,99.99,,,,0.0,0.0
1788070141.71,0,00,99.99,,,,0.0,0.0
1788070142.71,0,00,99.99,,,,0.0,0.0
1788070143.71,0,00,99.99,,,,0.0,0.0
1788070144.71,0,00,99.99,,,,0.0,0.0
1788070145.71,0,00,99.99,,,,0.0,0.0
1788070146.72,0,00,99.99,,,,0.0,0.0
1788070147.72,0,00,99.99,,,,0.0,0.0
1788070148.72,0,00,99.99,,,,0.0,0.0
1788070149.71,0,00,99.99,,,,0.0,0.0
1788070150.72,0,00,99.99,,,,0.0,0.0
1788070151.71,0,00,99.99,,,,0.0,0.0
1788070152.71,0,00,99.99,,,,0.0,0.0
1788070153.71,0,00,99.99,,,,0.0,0.0
1788070154.71,0,00,99.99,,,,0.0,0.0
1788070155.71,0,00,99.99,,,,0.0,0.0
1788070156.71,0,00,99.99,,,,0.0,0.0
1788070157.71,0,00,99.99,,,,0.0,0.0
1788070158.72,0,00,99.99,,,,0.0,0.0
1788070159.71,0,00,99.99,,,,0.0,0.0
1788071353.60,0,00,99.99,,,,0.0,0.0
1788071354.60,0,00,99.99,,,,0.0,0.0
1788071355.60,0,00,99.99,,,,0.0,0.0
1788071356.60,0,00,99.99,,,,0.0,0.0
1788071357.60,0,00,99.99,,,,0.0,0.0
1788071358.60,0,00,99.99,,,,0.0,0.0
1788071359.60,0,00,99.99,,,,0.0,0.0
1788071360.60,0,00,99.99,,,,0.0,0.0
1788071361.60,0,00,99.99,,,,0.0,0.0
1788071362.60,0,00,99.99,,,,0.0,0.0
1788071363.60,0,00,99.99,,,,0.0,0.0
1788071364.60,0,00,99.99,,,,0.0,0.0
1788071365.60,0,00,99.99,,,,0.0,0.0
1788071366.60,0,00,99.99,,,,0.0,0.0
1788071367.60,0,00,99.99,,,,0.0,0.0
1788071368.60,0,00,99.99,,,,0.0,0.0
1788071369.60,0,00,99.99,,,,0.0,0.0
1788071370.60,0,00,99.99,,,,0.0,0.0
1788071371.60,0,00,99.99,,,,0.0,0.0
1788071372.60,0,00,99.99,,,,0.0,0.0
1788071373.60,0,00,99.99,,,,0.0,0.0
1788071374.60,0,00,99.99,,,,0.0,0.0
1788071375.60,0,00,99.99,,,,0.0,0.0
1788071376.60,0,00,99.99,,,,0.0,0.0
1788071377.60,0,00,99.99,,,,0.0,0.0
1788071378.60,0,00,99.99,,,,0.0,0.0
1788071379.60,0,00,99.99,,,,0.0,0.0
1788071380.60,0,00,99.99,,,,0.0,0.0
1788071381.60,0,00,99.99,,,,0.0,0.0
1788071382.60,0,00,99.99,,,,0.0,0.0
1788071383.60,0,00,99.99,,,,0.0,0.0
1788071384.60,0,00,99.99,,,,0.0,0.0
1788071385.60,0,00,99.99,,,,0.0,0.0
1788071386.60,0,00,99.99,,,,0.0,0.0
1788071387.60,0,00,99.99,,,,0.0,0.0
1788071388.60,0,00,99.99,,,,0.0,0.0
1788071389.60,0,00,99.99,,,,0.0,0.0
1788071390.61,0,00,99.99,,,,0.0,0.0
1788071391.60,0,00,99.99,,,,0.0,0.0
1788071392.61,0,00,99.99,,,,0.0,0.0
1788071393.61,0,00,99.99,,,,0.0,0.0
1788071394.61,0,00,99.99,,,,0.0,0.0
1788071395.61,0,00,99.99,,,,0.0,0.0
1788071396.61,0,00,99.99,,,,0.0,0.0
1788071397.61,0,00,99.99,,,,0.0,0.0
1788071398.61,0,00,99.99,,,,0.0,0.0
1788071399.61,0,00,99.99,,,,0.0,0.0
1788071400.61,0,00,99.99,,,,0.0,0.0
1788071401.61,0,00,99.99,,,,0.0,0.0
1788071402.61,0,00,99.99,,,,0.0,0.0
1788071403.61,0,00,99.99,,,,0.0,0.0
1788071404.61,0,00,99.99,,,,0.0,0.0
1788071405.61,0,00,99.99,,,,0.0,0.0
1788071406.61,0,00,99.99,,,,0.0,0.0
1788071407.61,0,00,99.99,,,,0.0,0.0
1788071408.62,0,00,99.99,,,,0.0,0.0
1788071409.61,0,00,99.99,,,,0.0,0.0
1788071410.61,0,00,99.99,,,,0.0,0.0
1788071411.61,0,00,99.99,,,,0.0,0.0
1788071412.62,0,00,99.99,,,,0.0,0.0
1788071413.61,0,00,99.99,,,,0.0,0.0
1788071414.61,0,00,99.99,,,,0.0,0.0
1788071415.62,0,00,99.99,,,,0.0,0.0
1788071416.62,0,00,99.99,,,,0.0,0.0
1788071417.62,0,00,99.99,,,,0.0,0.0
1788071418.62,0,00,99.99,,,,0.0,0.0
1788071419.62,0,00,99.99,,,,0.0,0.0
1788071420.62,0,00,99.99,,,,0.0,0.0
1788071421.62,0,00,99.99,,,,0.0,0.0
1788071422.62,0,00,99.99,,,,0.0,0.0
1788071423.62,0,00,99.99,,,,0.0,0.0
1788071424.62,0,00,99.99,,,,0.0,0.0
1788071425.62,0,00,99.99,,,,0.0,0.0
1788071426.62,0,00,99.99,,,,0.0,0.0
1788071427.62,0,00,99.99,,,,0.0,0.0
1788071428.62,0,00,99.99,,,,0.0,0.0
1788071429.62,0,00,99.99,,,,0.0,0.0
1788071430.62,0,00,99.99,,,,0.0,0.0
1788071431.62,0,00,99.99,,,,0.0,0.0
1788071432.62,0,00,99.99,,,,0.0,0.0
1788071433.62,0,00,99.99,,,,0.0,0.0
1788071434.62,0,00,99.99,,,,0.0,0.0
1788071435.62,0,00,99.99,,,,0.0,0.0
1788071436.63,0,00,99.99,,,,0.0,0.0
1788071437.62,0,00,99.99,,,,0.0,0.0
1788071438.62,0,00,99.99,,,,0.0,0.0
1788071439.62,0,00,99.99,,,,0.0,0.0
1788071440.62,0,00,99.99,,,,0.0,0.0
1788071441.62,0,00,99.99,,,,0.0,0.0
1788071442.62,0,00,99.99,,,,0.0,0.0
1788071443.62,0,00,99.99,,,,0.0,0.0
1788071444.62,0,00,99.99,,,,0.0,0.0
1788071445.62,0,00,99.99,,,,0.0,0.0
1788071446.63,0,00,99.99,,,,0.0,0.0
1788071447.62,0,00,99.99,,,,0.0,0.0
1788071448.62,0,00,99.99,,,,0.0,0.0
1788071449.62,0,00,99.99,,,,0.0,0.0
1788071450.62,0,00,99.99,,,,0.0,0.0
1788071451.62,0,00,99.99,,,,0.0,0.0
1788071452.62,0,00,99.99,,,,0.0,0.0
1788071453.62,0,00,99.99,,,,0.0,0.0
1788071454.62,0,00,99.99,,,,0.0,0.0
1788071455.62,0,00,99.99,,,,0.0,0.0
1788071456.63,0,00,99.99,,,,0.0,0.0
1788071457.62,0,00,99.99,,,,0.0,0.0
1788071458.62,0,00,99.99,,,,0.0,0.0
1788071459.62,0,00,99.99,,,,0.0,0.0
1788071460.62,0,00,99.99,,,,0.0,0.0
1788071461.62,0,00,99.99,,,,0.0,0.0
1788071462.62,0,00,99.99,,,,0.0,0.0
1788071463.62,0,00,99.99,,,,0.0,0.0
1788071464.62,0,00,99.99,,,,0.0,0.0
1788071465.62,0,00,99.99,,,,0.0,0.0
1788071466.62,0,00,99.99,,,,0.0,0.0
1788071467.62,0,00,99.99,,,,0.0,0.0
1788071468.62,0,00,99.99,,,,0.0,0.0
1788071469.62,0,00,99.99,,,,0.0,0.0
1788071470.62,0,00,99.99,,,,0.0,0.0
1788071471.62,0,00,99.99,,,,0.0,0.0
1788071472.63,0,00,99.99,,,,0.0,0.0
1788071473.62,0,00,99.99,,,,0.0,0.0
1788071474.62,0,00,99.99,,,,0.0,0.0
1788071475.62,0,00,99.99,,,,0.0,0.0
